,RealPC1_rollstd_d1
2021-05-10,0.04163983012213419
2021-05-11,0.04186841999009116
2021-05-12,0.03541134694870871
2021-05-13,0.03467491121931169
2021-05-14,0.03521075209267804
2021-05-17,0.03554388637042312
2021-05-18,0.03454118225333079
2021-05-19,0.02939648073924359
2021-05-20,0.02896446934776982
2021-05-21,0.02894927481862229
2021-05-24,0.024268947043778452
2021-05-25,0.024181278662400274
2021-05-26,0.02407607802059815
2021-05-27,0.02410190985399603
2021-05-28,0.024501206248602532
2021-05-31,0.024483349059911612
2021-06-01,0.024503925675109832
2021-06-02,0.021541405894057716
2021-06-04,0.019320881206076654
2021-06-07,0.014737096194627508
2021-06-08,0.014907111439086518
2021-06-09,0.014757340209611966
2021-06-10,0.013644812281720103
2021-06-11,0.014741095904425114
2021-06-14,0.014339562109201131
2021-06-15,0.014192147111320264
2021-06-16,0.011611116001129101
2021-06-17,0.033524874891139506
2021-06-18,0.03658499281473985
2021-06-21,0.036586635107905045
2021-06-22,0.03727345809679126
2021-06-23,0.038356961502161245
2021-06-24,0.03829820798184795
2021-06-25,0.03846081646148737
2021-06-28,0.03988584406101356
2021-06-29,0.04059712405441978
2021-06-30,0.04069503691554117
2021-07-01,0.040858110964375596
2021-07-02,0.04193640112990549
2021-07-05,0.041972920679867444
2021-07-06,0.042221719808771103
2021-07-07,0.04239757295510104
2021-07-08,0.04239587648397159
2021-07-09,0.04248019421471058
2021-07-12,0.04234542959657374
2021-07-13,0.042344883513715126
2021-07-14,0.04334782167376618
2021-07-15,0.04334959524192835
2021-07-16,0.028874725959494692
2021-07-19,0.024783281080036374
2021-07-20,0.025015236742680354
2021-07-21,0.020387405939923015
2021-07-22,0.019915942877595606
2021-07-23,0.022974194078370862
2021-07-26,0.024081205798493335
2021-07-27,0.029118949569931687
2021-07-28,0.028677321831607337
2021-07-29,0.02933548417249468
2021-07-30,0.029690790786501355
2021-08-02,0.030687552178296707
2021-08-03,0.030200568862179655
2021-08-04,0.02981096392706225
2021-08-05,0.03429333402529532
2021-08-06,0.03531243421086356
2021-08-09,0.036047174141997644
2021-08-10,0.03605589728174166
2021-08-11,0.03627469042739543
2021-08-12,0.03469847717980949
2021-08-13,0.03785483541235428
2021-08-16,0.037604345829380194
2021-08-17,0.033976842137029985
2021-08-18,0.03290605667892666
2021-08-19,0.03210320501511563
2021-08-20,0.030460138004865803
2021-08-23,0.03025238754923469
2021-08-24,0.030360839076488958
2021-08-25,0.02833671673677139
2021-08-26,0.03053806483817744
2021-08-27,0.03287820513618019
2021-08-30,0.03434744346896465
2021-08-31,0.03281238014092869
2021-09-01,0.03277516491839148
2021-09-02,0.032827370285686386
2021-09-03,0.028548594166537957
2021-09-06,0.02927262091179317
2021-09-08,0.028643638724009074
2021-09-09,0.03807732448344977
2021-09-10,0.03805390467171159
2021-09-13,0.039836554448422
2021-09-14,0.03925030907949685
2021-09-15,0.042593315279208406
2021-09-16,0.04235052347019145
2021-09-17,0.042495160208949605
2021-09-20,0.042278906258379954
2021-09-21,0.04227518712847589
2021-09-22,0.04190848274739355
2021-09-23,0.041757966364583655
2021-09-24,0.041644794079294264
2021-09-27,0.04196337204120293
2021-09-28,0.04171831494818424
2021-09-29,0.0412051038816379
2021-09-30,0.042689439936551526
2021-10-01,0.04271775130449652
2021-10-04,0.04280618441726552
2021-10-05,0.041987137065256676
2021-10-06,0.04066087093946199
2021-10-07,0.040676841126506574
2021-10-08,0.03019808164388181
2021-10-11,0.030210980043332152
2021-10-13,0.029391646939425642
2021-10-14,0.025778411959961146
2021-10-15,0.024512675536676246
2021-10-18,0.02527820340968552
2021-10-19,0.025597675713597615
2021-10-20,0.029849314097395305
2021-10-21,0.030036353467764246
2021-10-22,0.03036648342676485
2021-10-25,0.029777510937150628
2021-10-26,0.06554739631807907
2021-10-27,0.0659821825310205
2021-10-28,0.08414700033353084
2021-10-29,0.08505728100960644
2021-11-01,0.0851795645296319
2021-11-03,0.08540113956992702
2021-11-04,0.08560934435132998
2021-11-05,0.08624259065473826
2021-11-08,0.08609173453330658
2021-11-09,0.08814374685886721
2021-11-10,0.08898883748539677
2021-11-11,0.09087267040513243
2021-11-12,0.09153005576805374
2021-11-16,0.09777557232594317
2021-11-17,0.09701729388704397
2021-11-18,0.09698680876509452
2021-11-19,0.09789352335066204
2021-11-22,0.09712060641045413
2021-11-23,0.0981612080947951
2021-11-24,0.10217970813080868
2021-11-25,0.10205306576060323
2021-11-26,0.08201194359394258
2021-11-29,0.08332167191624286
2021-11-30,0.057454813357690725
2021-12-01,0.05249415303009553
2021-12-02,0.05187016830743025
2021-12-03,0.05375934864129124
2021-12-06,0.05386947936548688
2021-12-07,0.05744050646128335
2021-12-08,0.057579852346824285
2021-12-09,0.05909103921944554
2021-12-10,0.05882776997787009
2021-12-13,0.05795992677188509
2021-12-14,0.05932623957442758
2021-12-15,0.0517073576040325
2021-12-16,0.051606365571226734
2021-12-17,0.05130432932616714
2021-12-20,0.050234757050520405
2021-12-21,0.049367646662605555
2021-12-22,0.04554129508854071
2021-12-23,0.03773833326895478
2021-12-24,0.03752042085027756
2021-12-27,0.03734145597225854
2021-12-28,0.03434537898788758
2021-12-29,0.03331494262438716
2021-12-30,0.03319877980602528
2021-12-31,0.033200635349929536
2022-01-03,0.026682027585995173
2022-01-04,0.026846452818236763
2022-01-05,0.024416208469577916
2022-01-06,0.02501400825380322
2022-01-07,0.02672192710928587
2022-01-10,0.027225918625319916
2022-01-11,0.027015255924423734
2022-01-12,0.024505540434980433
2022-01-13,0.024835020961270077
2022-01-14,0.02480457796093685
2022-01-17,0.026339958300548402
2022-01-18,0.02655730380026905
2022-01-19,0.03011097306957932
2022-01-20,0.03073217775301901
2022-01-21,0.0307732611865017
2022-01-24,0.03151932182332344
2022-01-25,0.03161140533017901
2022-01-26,0.03128807305265119
2022-01-27,0.03333875580317212
2022-01-28,0.03286085697024747
2022-01-31,0.03784905412385044
2022-02-01,0.039465502587049034
2022-02-02,0.03943695901108448
2022-02-03,0.03826337499255909
2022-02-04,0.03808405177936659
2022-02-07,0.03440286987998285
2022-02-08,0.03424451058198986
2022-02-09,0.034204100201589205
2022-02-10,0.03411018507125509
2022-02-11,0.03387635560624494
2022-02-14,0.03391658929826829
2022-02-15,0.03243034282853611
2022-02-16,0.03207109479718734
2022-02-17,0.029205675496784565
2022-02-18,0.028643875217616188
2022-02-21,0.028643875217616188
2022-02-22,0.027708922010367093
2022-02-23,0.02755606373689642
2022-02-24,0.027586607095255282
2022-02-25,0.023954689009962758
2022-03-02,0.02365970918053316
2022-03-03,0.007347016387417679
2022-03-04,0.0
2022-03-07,0.0
2022-03-08,0.0
2022-03-09,0.0
2022-03-10,0.0
2022-03-11,0.0
2022-03-14,0.0
2022-03-15,0.0
2022-03-16,0.0
2022-03-17,0.0
2022-03-18,0.0
2022-03-21,0.0
2022-03-22,0.0
2022-03-23,0.0
2022-03-24,0.0
2022-03-25,0.0
2022-03-28,0.0
2022-03-29,0.0
2022-03-30,0.0
2022-03-31,0.0
2022-04-01,0.0
2022-04-04,0.0
2022-04-05,0.0
2022-04-06,0.0
2022-04-07,0.0
2022-04-08,0.0
2022-04-11,0.0
2022-04-12,0.0
2022-04-13,0.0
2022-04-14,0.0
2022-04-18,0.0
2022-04-19,0.0
2022-04-20,0.0
2022-04-22,0.0
2022-04-25,0.0
2022-04-26,0.0
2022-04-27,0.0
2022-04-28,0.0
2022-04-29,0.0
2022-05-02,0.0
2022-05-03,0.0
2022-05-04,0.0
2022-05-05,0.0
2022-05-06,0.0750393490024682
2022-05-09,0.07541936457505592
2022-05-10,0.07746291678554848
2022-05-11,0.0776117937907425
2022-05-12,0.07756714433611757
2022-05-13,0.077954105976119
2022-05-16,0.07813152642528262
2022-05-17,0.07872606308289698
2022-05-18,0.08058922725752794
2022-05-19,0.085548497273827
2022-05-20,0.0859458983068316
2022-05-23,0.08635044330053887
2022-05-24,0.08648249082195972
2022-05-25,0.08773892232595319
2022-05-26,0.08806116625651796
2022-05-27,0.08948665510795642
2022-05-30,0.09060841152722003
2022-05-31,0.09326217335926358
2022-06-01,0.09455282605644315
2022-06-02,0.09455187976567617
2022-06-03,0.0947031006067961
2022-06-06,0.055080466047689805
2022-06-07,0.06980436086553195
2022-06-08,0.06992461812321091
2022-06-09,0.06868100973528721
2022-06-10,0.06934994163670397
2022-06-13,0.06726606263015572
2022-06-14,0.06523002236271112
2022-06-15,0.07522724897870216
2022-06-17,0.07466041485677362
2022-06-20,0.07118447542984838
2022-06-21,0.07222599903167107
2022-06-22,0.0749390872495003
2022-06-23,0.07659358583378069
2022-06-24,0.07701844742428947
2022-06-27,0.07727457569615234
2022-06-28,0.07781054574727125
2022-06-29,0.07730143606716178
2022-06-30,0.07386976744902052
2022-07-01,0.07456342508993931
2022-07-04,0.07434121841456037
2022-07-05,0.07467418834374942
2022-07-06,0.07294581306050268
2022-07-07,0.06121402021438824
2022-07-08,0.061022251562506416
2022-07-11,0.06213490295661093
2022-07-12,0.060963571963530104
2022-07-13,0.06092127169660634
2022-07-14,0.06099503667977804
2022-07-15,0.04646769359512182
2022-07-18,0.04694649792225789
2022-07-19,0.047404360719268304
2022-07-20,0.05779738708173297
2022-07-21,0.055649001468022125
2022-07-22,0.054438899360157465
2022-07-25,0.051417120247778315
2022-07-26,0.05205216234255136
2022-07-27,0.05178588089898119
2022-07-28,0.06046641933585532
2022-07-29,0.06766280347754425
2022-08-01,0.06381164746703599
2022-08-02,0.06416419661549451
2022-08-03,0.06202835709201093
2022-08-04,0.07168578132405218
2022-08-05,0.07160422315788027
2022-08-08,0.06972120049575846
2022-08-09,0.06822391285810779
