,InflPC1_rollstd_d1,InflPC2_rollstd_d1
2015-11-18,0.04431868034755181,0.033579162986091364
2015-11-19,0.04093078770767836,0.03338607785638546
2015-11-20,0.04092602620172778,0.03338552945543747
2015-11-23,0.04166800894711018,0.03351405750179497
2015-11-24,0.0370409145601544,0.02527736679728187
2015-11-25,0.03725219960819181,0.022476891914397886
2015-11-26,0.03706056559370578,0.02257180712960025
2015-11-27,0.03709148979818506,0.022579713285205364
2015-11-30,0.037188261950843314,0.022575375423275805
2015-12-01,0.03716855927928812,0.025192409913923377
2015-12-02,0.03699280416188729,0.02519017863399442
2015-12-03,0.03765688528138249,0.02746954886126027
2015-12-04,0.037645860612323064,0.023310142136960896
2015-12-07,0.03789753602317344,0.023268075229749573
2015-12-08,0.03872760643336953,0.023241418005401176
2015-12-09,0.039485422882630336,0.02330524772250866
2015-12-10,0.039682000045053914,0.0232829471647135
2015-12-11,0.03969650990142447,0.023287803174147876
2015-12-14,0.03993477632808717,0.023882895295789727
2015-12-15,0.039748803075194745,0.023778149881070354
2015-12-16,0.040511220604444016,0.023418563015495778
2015-12-17,0.02936817605538,0.02308386709725215
2015-12-18,0.029307056145297466,0.022895405351414613
2015-12-21,0.03148148544194212,0.022955878081359255
2015-12-22,0.031133543176181732,0.022653499386176106
2015-12-23,0.031139028428147853,0.02265453678421379
2015-12-24,0.031342584071873875,0.023152554351999036
2015-12-28,0.031174711168821947,0.02375203978547949
2015-12-29,0.031183005812404983,0.023757388024029602
2015-12-30,0.031188417017929033,0.023180922252875432
2015-12-31,0.030993195631731342,0.020003950407068188
2016-01-04,0.031149802213068928,0.021307662408420906
2016-01-05,0.02975544823972891,0.01778777340438697
2016-01-06,0.029719427520955993,0.014913097679135923
2016-01-07,0.02075237774377692,0.01281009142300545
2016-01-08,0.020143528835084842,0.013845364377106645
2016-01-11,0.04153759614943661,0.013666847179932625
2016-01-12,0.041654967067126236,0.013786533663435225
2016-01-13,0.04157494288691509,0.0137870798665047
2016-01-14,0.04454338418799815,0.013327365796454256
2016-01-15,0.04623625459597751,0.013456667023584487
2016-01-18,0.05136607456757895,0.014794163857562175
2016-01-19,0.05112629649001132,0.014729324961948845
2016-01-20,0.05099875125572105,0.01480405314669186
2016-01-21,0.05266770895491774,0.01946581755236357
2016-01-22,0.0649653292566583,0.02947680885393981
2016-01-25,0.06500470454666307,0.029488365529136085
2016-01-26,0.06609738412395087,0.031066464845617557
2016-01-27,0.07046605783819264,0.03304401454347402
2016-01-28,0.07831785156792097,0.040019023610917095
2016-01-29,0.07763617524616848,0.04009391425373444
2016-02-01,0.077883991579014,0.04012810397900366
2016-02-02,0.07961912990432919,0.03934142605887185
2016-02-03,0.07909125960559259,0.03947079765468961
2016-02-04,0.0782599340322449,0.03948100208108082
2016-02-05,0.08349650353537526,0.051150114600451824
2016-02-10,0.08448973051962946,0.05096071746245329
2016-02-11,0.08339615318951821,0.05424882115432069
2016-02-12,0.0842005826804401,0.05421941020844156
2016-02-15,0.08437520442145813,0.054226834521774354
2016-02-16,0.08078315310218341,0.05416215137556311
2016-02-17,0.08171365316915968,0.05413443655914555
2016-02-18,0.08119709522606641,0.05358878585381731
2016-02-19,0.08063955342876374,0.053819332786495734
2016-02-22,0.08041511226445687,0.055778656974142166
2016-02-23,0.0800045802700555,0.053624629637805135
2016-02-24,0.07212463346681175,0.05005611607230349
2016-02-25,0.07174640048320627,0.05024315781190877
2016-02-26,0.07166032140649428,0.049472241810189735
2016-02-29,0.0722006933299603,0.049807789092605664
2016-03-01,0.0635367642675491,0.04590214730736735
2016-03-02,0.06376195143807366,0.04585032114493536
2016-03-03,0.061632601283079055,0.04587602157916325
2016-03-04,0.06043003551055946,0.0459971380915124
2016-03-07,0.06473974189659364,0.04827845143770136
2016-03-08,0.06415444526448,0.04821414494681318
2016-03-09,0.05024269215770106,0.039117568350413384
2016-03-10,0.05012553567406279,0.03938999920457463
2016-03-11,0.03705311826249585,0.03555622586927126
2016-03-14,0.03704695379938468,0.03553898602767342
2016-03-15,0.03706488035611874,0.03551582669668053
2016-03-16,0.03723804651646777,0.03590542229017888
2016-03-17,0.037225680053235365,0.035890218678977626
2016-03-18,0.03735384065252147,0.0362987618052028
2016-03-21,0.03677093839382389,0.03656733131427699
2016-03-22,0.03716460812811523,0.03572717178651903
2016-03-23,0.03864436800901633,0.035708213536050706
2016-03-24,0.03901496606846149,0.03599017541602647
2016-03-28,0.041370816457190034,0.037807003324276056
2016-03-29,0.04133107290462248,0.03762192145554154
2016-03-30,0.03752120014297469,0.03516910754924738
2016-03-31,0.03095818221417631,0.03395211465763815
2016-04-01,0.03154510495286256,0.03452858009867765
2016-04-04,0.03319527498007141,0.03507538731541274
2016-04-05,0.034671872582892345,0.0348280730025212
2016-04-06,0.03489172311929867,0.0331168086483788
2016-04-07,0.03489663476469536,0.03312839922029092
2016-04-08,0.03871630164510389,0.031542516659518495
2016-04-11,0.039111971313798205,0.031171090383446946
2016-04-12,0.03920686010537937,0.031220646714230603
2016-04-13,0.03920284340190396,0.03139073406671294
2016-04-14,0.03913289470771863,0.03130810396532232
2016-04-15,0.039301920703775986,0.030590938072160276
2016-04-18,0.039729853127393536,0.03067677785006423
2016-04-19,0.05739003985683577,0.03152754554625921
2016-04-20,0.05675857367836021,0.03148970211377879
2016-04-22,0.05557273794471557,0.02882883283057015
2016-04-25,0.05541383407097332,0.028829465228185677
2016-04-26,0.05561658768836982,0.028324870654524877
2016-04-27,0.052997685412236026,0.024609764344850234
2016-04-28,0.057274803921425636,0.027361678046991602
2016-04-29,0.0604652117734649,0.028435590099680268
2016-05-02,0.05995266597489814,0.028611876900821762
2016-05-03,0.06054153767525785,0.02831285779927739
2016-05-04,0.059276048820520996,0.02704814794150726
2016-05-05,0.057149781096869495,0.026677576498185255
2016-05-06,0.05609031276749685,0.025143836415123855
2016-05-09,0.05567528597779174,0.025551907339541942
2016-05-10,0.0548165496503058,0.019854731667232367
2016-05-11,0.05514580814064949,0.019087454949429778
2016-05-12,0.05478633329841118,0.01916070368002294
2016-05-13,0.05480363980408896,0.01919047285391886
2016-05-16,0.05445313311864353,0.01891097064993251
2016-05-17,0.05312728575190264,0.019247808655966703
2016-05-18,0.05792220282468129,0.024756309181351133
2016-05-19,0.05154416394846991,0.04345527588063378
2016-05-20,0.05174717578220374,0.043526050399444675
2016-05-23,0.0519130705599898,0.043661315240428974
2016-05-24,0.05205557642405835,0.043613593117888566
